ID        alpha     delta          x         y        v         ev        bv        ebv       ub        eub       vi        evi
153       253.837177   -45.309722   672.027 2402.340    14.463     0.007     1.127     0.009     0.681     0.009     1.586     0.011
154       253.631031   -45.182253  1869.160 1345.380    14.464     0.007     0.791     0.008     0.361     0.010     1.057     0.010
155       253.762170   -45.339149  1107.610 2646.340    14.470     0.005     0.739     0.007     0.461     0.007     1.063     0.008
156       253.601118   -45.079615  2042.870  494.319    14.470     0.017     1.454     0.019     1.148     0.013     2.430     0.028
157       253.815308   -45.318695   799.026 2476.740    14.472     0.006     0.786     0.008     0.441     0.010     1.177     0.011
158       253.708335   -45.147232  1420.240 1054.990    14.483     0.007     0.630     0.008     0.439     0.010     0.915     0.010
159       253.893666   -45.182340   343.986 1346.100    14.484     0.005     1.045     0.008     0.907     0.008     1.210     0.009
160       253.811301   -45.193331   822.291 1437.240    14.507     0.009     1.113     0.011     0.628     0.011     1.481     0.011
161       253.930222   -45.182355   131.694 1346.230    14.509     0.059     1.263     0.066     nan     nan     1.221     0.061
162       253.849028   -45.097621   603.206  643.622    14.512     0.005     1.638     0.006     1.422     0.009     1.907     0.008
163       253.624387   -45.031550  1907.740   95.768    14.512     0.006     0.547     0.008     0.313     0.009     0.933     0.011
164       253.852662   -45.249004   582.105 1898.870    14.515     0.011     0.772     0.013     0.286     0.011     0.920     0.015
165       253.903323   -45.359616   287.902 2816.050    14.522     0.003     1.868     0.006     1.436     0.013     2.298     0.012
166       253.794331   -45.058979   920.841  323.206    14.540     0.005     0.717     0.006     0.557     0.005     1.059     0.013
167       253.934780   -45.281590   105.229 2169.070    14.557     0.007     2.094     0.009     1.488     0.015     2.636     0.010
168       253.618784   -45.068545  1940.280  402.533    14.563     0.004     1.680     0.006     1.635     0.013     2.049     0.007
169       253.852669   -45.092940   582.064  604.811    14.566     0.005     1.720     0.006     1.346     0.010     2.078     0.009
170       253.836573   -45.247916   675.534 1889.850    14.584     0.011     0.745     0.014     0.294     0.012     0.925     0.015
171       253.870728   -45.330585   477.191 2575.330    14.584     0.021     2.174     0.036     nan     nan     3.015     0.023
172       253.772925   -45.027483  1045.150   62.052    14.596     0.008     0.670     0.008     0.503     0.006     1.028     0.016
173       253.916173   -45.131572   213.281  925.144    14.597     0.005     2.093     0.006     1.483     0.015     2.684     0.008
174       253.680507   -45.094496  1581.840  617.713    14.599     0.005     1.740     0.007     1.687     0.014     2.094     0.007
175       253.801331   -45.137452   880.194  973.900    14.609     0.006     0.851     0.007     0.606     0.009     1.241     0.010
176       253.814026   -45.151412   806.469 1089.650    14.632     0.007     1.795     0.009     1.461     0.023     2.292     0.009
177       253.791941   -45.352587   934.724 2757.770    14.647     0.005     0.831     0.007     0.542     0.007     1.000     0.010
178       253.752457   -45.208054  1164.010 1559.320    14.657     0.010     0.897     0.012     0.441     0.012     1.213     0.014
179       253.814436   -45.053410   804.090  277.030    14.667     0.018     1.533     0.031     nan     nan     1.800     0.023
180       253.672496   -45.098705  1628.360  652.615    14.668     0.005     0.929     0.006     0.522     0.007     1.227     0.008
181       253.797335   -45.084174   903.395  532.124    14.672     0.004     0.966     0.005     0.677     0.006     1.380     0.010
182       253.740383   -45.103996  1234.130  696.482    14.679     0.014     0.787     0.015     0.608     0.006     nan     nan
183       253.784244   -45.084128   979.419  531.744    14.687     0.005     1.046     0.007     0.427     0.008     1.414     0.011
184       253.695287   -45.183391  1496.010 1354.820    14.694     0.008     1.013     0.010     0.684     0.013     1.451     0.011
185       253.715340   -45.227275  1379.560 1718.700    14.704     0.010     1.039     0.012     0.257     0.013     1.537     0.014
186       253.601691   -45.025543  2039.540   45.959    14.707     0.008     0.817     0.010     0.651     0.010     1.127     0.013
187       253.681821   -45.231701  1574.210 1755.400    14.713     0.021     0.940     0.024     0.359     0.013     1.463     0.023
188       253.873739   -45.336728   459.702 2626.270    14.713     0.024     1.528     0.037     0.945     0.032     2.063     0.026
189       253.881234   -45.286981   416.180 2213.770    14.716     0.009     1.980     0.012     1.619     0.017     2.442     0.013
190       253.836765   -45.366340   674.418 2871.810    14.717     0.005     0.712     0.007     0.237     0.005     0.939     0.011
191       253.616857   -45.137685  1951.470  975.831    14.719     0.007     0.995     0.008     0.571     0.009     1.332     0.010
192       253.839285   -45.344929   659.785 2694.270    14.726     0.033     2.001     0.036       -0.414     0.033     1.369     0.043
193       253.819196   -45.302112   776.448 2339.240    14.730     0.007     0.834     0.010     0.329     0.009     1.100     0.012
194       253.766085   -45.230219  1084.870 1743.110    14.750     0.012     1.283     0.015     0.368     0.012     1.831     0.014
195       253.778522   -45.204106  1012.650 1526.580    14.767     0.010     1.556     0.012     0.318     0.013     2.511     0.013
196       253.788833   -45.291453   952.768 2250.850    14.771     0.009     1.754     0.013     1.521     0.024     2.155     0.014
197       253.816488   -45.343201   792.170 2679.940    14.774     0.005     0.770     0.007     0.364     0.006     0.964     0.011
198       253.855583   -45.066386   565.137  384.625    14.776     0.006     1.134     0.007     1.218     0.008     1.405     0.013
199       253.784580   -45.094959   977.469  621.548    14.779     0.003     0.837     0.005     0.636     0.007     1.210     0.009
200       253.828726   -45.038931   721.101  156.971    14.791     0.015     0.846     0.018     0.406     0.016     1.177     0.022
201       253.665724   -45.067156  1667.690  391.012    14.799     0.006     1.585     0.007     1.534     0.011     1.853     0.010
202       253.799572   -45.097234   890.408  640.413    14.806     0.004     1.705     0.006     1.494     0.011     1.998     0.007
203       253.821771   -45.110991   761.491  754.488    14.808     0.004     1.685     0.007     1.416     0.013     2.003     0.006
204       253.705561   -45.024657  1436.350   38.617    14.808     0.007     1.026     0.008     0.608     0.009     1.496     0.012
205       253.686668   -45.092334  1546.060  599.785    14.810     0.004     0.817     0.006     0.322     0.006     1.153     0.009
206       253.796524   -45.350350   908.106 2739.220    14.820     0.005     0.948     0.007     0.753     0.007     1.140     0.008
207       253.693262   -45.142793  1507.770 1018.180    14.821     0.007     0.673     0.008     0.187     0.010     1.039     0.009
208       253.770614   -45.247089  1058.570 1882.990    14.823     0.011     1.341     0.014     0.358     0.013     1.882     0.014
209       253.816966   -45.043395   789.395  193.989    14.826     0.007     1.597     0.008     1.450     0.011     1.939     0.013
210       253.664527   -45.120912  1674.640  836.747    14.829     0.006     0.898     0.007     0.524     0.009     1.323     0.008
211       253.612307   -45.089453  1977.890  575.892    14.830     0.005     0.794     0.006     0.323     0.007     1.113     0.010
212       253.921062   -45.352644   184.892 2758.240    14.830     0.003     0.860     0.006     0.567     0.007     1.241     0.011
213       253.710857   -45.382399  1405.590 3004.970    14.831     0.004     0.781     0.006     0.400     0.010     0.983     0.012
214       253.703589   -45.134538  1447.800  949.733    14.835     0.006     0.863     0.007     0.404     0.010     1.221     0.010
215       253.615596   -45.346327  1958.790 2705.860    14.841     0.004     1.420     0.006     0.390     0.016     2.058     0.017
216       253.816732   -45.118784   790.754  819.106    14.851     0.004     0.711     0.005     0.178     0.007     1.126     0.008
217       253.678251   -45.071295  1594.940  425.335    14.865     0.003     0.718     0.004     0.523     0.006     1.092     0.009
218       253.832206   -45.059448   700.894  327.096    14.871     0.006     1.649     0.007     1.459     0.010     2.012     0.012
219       253.815512   -45.377059   797.838 2960.690    14.876     0.005     0.814     0.007     0.515     0.009     1.180     0.014
220       253.644431   -45.091078  1791.340  589.367    14.877     0.021     0.868     0.024     0.687     0.012     1.106     0.023
221       253.829326   -45.337786   717.618 2635.040    14.878     0.005     1.871     0.007     1.366     0.014     2.391     0.011
222       253.732625   -45.338596  1279.180 2641.760    14.889     0.006     0.876     0.007     0.655     0.007     1.028     0.009
223       253.772810   -45.042676  1045.820  188.026    14.896     0.006     0.582     0.007     0.402     0.005     0.898     0.015
224       253.716056   -45.254911  1375.400 1947.850    14.896     0.010     1.996     0.014     1.332     0.016     2.513     0.015
225       253.754140   -45.193301  1154.240 1436.990    14.898     0.011     1.149     0.013     0.657     0.014     1.571     0.014
226       253.907983   -45.110699   260.843  752.063    14.917     0.006     1.041     0.007     0.687     0.007     nan     nan
227       253.892747   -45.344398   349.318 2689.870    14.920     0.007     2.346     0.008     1.014     0.033     2.983     0.012
228       253.842402   -45.336155   641.685 2621.520    14.922     0.005     0.874     0.007     0.617     0.007     1.234     0.010
229       253.906871   -45.075499   267.297  460.192    14.923     0.009     0.767     0.010     0.346     0.006     0.956     0.023
230       253.791866   -45.118628   935.155  817.811    14.926     0.004     1.569     0.006     1.325     0.012     1.884     0.007
231       253.849416   -45.046151   600.955  216.840    14.946     0.009     2.041     0.011     1.653     0.021     2.568     0.019
232       253.653680   -45.131754  1737.630  926.650    14.957     0.006     0.930     0.007     0.551     0.009     1.341     0.009
233       253.758705   -45.276733  1127.730 2128.800    14.959     0.011     0.755     0.014     0.325     0.012     0.954     0.015
234       253.865059   -45.053717   510.111  279.581    14.960     0.008     0.737     0.010     0.400     0.006     1.121     0.018
235       253.752130   -45.362203  1165.910 2837.500    14.977     0.004     0.884     0.005     0.683     0.007     1.030     0.009
236       253.713482   -45.144497  1390.350 1032.310    14.986     0.007     1.833     0.009     1.384     0.029     2.373     0.008
237       253.721212   -45.116795  1345.460  802.608    14.993     0.005     0.940     0.006     0.484     0.007     1.322     0.009
238       253.754658   -45.088101  1151.230  564.688    14.997     0.004     0.735     0.005     0.331     0.006     0.946     0.011
239       253.693217   -45.050527  1508.030  253.130    15.002     0.004     0.864     0.005     0.414     0.006     1.242     0.011
240       253.675434   -45.102294  1611.300  682.374    15.015     0.005     0.830     0.006     0.414     0.007     1.142     0.010
241       253.625753   -45.042707  1899.810  188.284    15.020     0.023     0.855     0.026     0.413     0.013     0.906     0.024
242       253.794474   -45.305917   920.012 2370.790    15.024     0.007     0.897     0.011     0.285     0.011     1.356     0.011
243       253.918826   -45.080903   197.874  504.999    15.027     0.009     0.900     0.010     0.603     0.007     1.323     0.020
244       253.624837   -45.095701  1905.130  627.703    15.031     0.005     0.675     0.006     0.462     0.006     1.005     0.010
245       253.667670   -45.069854  1656.390  413.385    15.037     0.004     0.715     0.006     0.234     0.006     1.045     0.011
246       253.948960   -45.363858    22.881 2851.230    15.039     0.003     0.953     0.007     0.693     0.009     1.161     0.015
247       253.746122   -45.080849  1200.800  504.555    15.055     0.020     0.981     0.021     0.641     0.011     1.310     0.022
248       253.926692   -45.153561   152.196 1107.470    15.060     0.003     1.224     0.005     0.765     0.008     1.648     0.006
249       253.693880   -45.130058  1504.180  912.583    15.060     0.006     0.650     0.007     0.304     0.009     0.975     0.010
250       253.658300   -45.065552  1710.800  377.715    15.062     0.003     1.710     0.006     1.602     0.015     2.088     0.007
251       253.790113   -45.303087   945.334 2347.320    15.065     0.007     1.829     0.012     1.505     0.016     2.291     0.011
252       253.747133   -45.358935  1194.930 2810.410    15.066     0.005     0.919     0.007     0.642     0.007     1.263     0.010
253       253.785519   -45.323612   972.016 2517.510    15.076     0.007     1.357     0.009     0.923     0.009     1.693     0.010
254       253.673817   -45.138133  1620.690  979.541    15.085     0.006     1.383     0.008     1.143     0.013     1.690     0.008
255       253.822939   -45.301101   754.708 2330.850    15.088     0.008     0.792     0.011     0.396     0.009     0.989     0.013
