ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
197       250.129486-43.434489   726.552  1664.480    14.842     0.002     1.761     0.003     INDEF     INDEF     2.120     0.003
198       250.062194-43.275917  1169.350   243.075    14.844     0.002     0.928     0.004     INDEF     INDEF     1.146     0.003
199       250.175443-43.476195   424.144  2038.320    14.867     0.006     1.087     0.011    -0.052     0.019     1.320     0.059
200       250.080693-43.289446  1047.620   364.345    14.867     0.002     0.739     0.003     0.579     0.032     1.087     0.003
201       250.012162-43.346252  1498.570   873.543    14.871     0.002     0.836     0.004     INDEF     INDEF     1.159     0.003
202       250.037765-43.340711  1330.100   823.872    14.873     0.002     0.718     0.002     INDEF     INDEF     0.992     0.002
203       250.059275-43.468019  1188.560  1965.030    14.894     0.002     0.795     0.003     INDEF     INDEF     1.155     0.004
204       250.049673-43.361744  1251.740  1012.410    14.895     0.002     0.699     0.002     0.330     0.011     0.940     0.003
205       250.057156-43.378241  1202.500  1160.280    14.896     0.003     0.693     0.003     0.382     0.012     0.931     0.003
206       250.162089-43.405321   512.018  1403.020    14.912     0.002     0.710     0.003     0.306     0.027     0.970     0.003
207       250.047559-43.422261  1265.650  1554.870    14.922     0.002     0.738     0.002     INDEF     INDEF     1.042     0.003
208       250.085480-43.428724  1016.120  1612.800    14.929     0.002     1.057     0.002     0.433     0.015     1.359     0.004
209       250.087919-43.290372  1000.070   372.647    14.933     0.002     0.691     0.004     0.527     0.032     0.984     0.003
210       249.990391-43.249567  1641.830     6.878    14.949     0.004     0.856     0.005     INDEF     INDEF     1.145     0.006
211       250.202086-43.405666   248.825  1406.110    14.961     0.003     0.856     0.003     INDEF     INDEF     1.146     0.003
212       250.150431-43.399147   588.730  1347.680    14.973     0.002     0.867     0.003     0.303     0.012     1.178     0.003
213       250.162752-43.274980   507.655   234.671    14.982     0.003     1.441     0.005     INDEF     INDEF     INDEF     INDEF
214       250.197091-43.267435   281.695   167.037    14.984     0.006     0.956     0.006     0.535     0.021     1.342     0.007
215       250.125027-43.275473   755.891   239.090    14.991     0.002     0.864     0.004     0.406     0.014     1.127     0.003
216       250.062633-43.357762  1166.460   976.713    15.006     0.003     0.753     0.003     0.420     0.012     1.026     0.003
217       250.082081-43.424469  1038.490  1574.660    15.007     0.003     1.944     0.005     INDEF     INDEF     2.327     0.004
218       250.238269-43.345886    10.732   870.262    15.014     0.002     0.883     0.003     INDEF     INDEF     1.213     0.003
219       250.222920-43.275082   111.733   235.588    15.019     0.006     0.889     0.006     0.534     0.020     1.206     0.008
220       250.100426-43.389684   917.772  1262.850    15.035     0.005     0.718     0.005     0.346     0.010     1.015     0.006
221       250.054867-43.403283  1217.560  1384.750    15.048     0.002     0.796     0.002     0.436     0.015     1.111     0.003
222       250.060009-43.336856  1183.730   789.314    15.060     0.004     0.777     0.007     0.358     0.015     1.057     0.007
223       250.130579-43.278747   719.356   268.435    15.062     0.002     0.735     0.003     0.487     0.016     1.076     0.002
